especie,Date,apertura,maximo,minimo,Close,volumen,timestamp
CEDEARKO,2020-12-03,1540,1558,1527,1549,26037,1606964400
CEDEARKO,2020-12-04,1546.5,1564.5,1532,1552,23654,1607050800
CEDEARKO,2020-12-09,1552,1559,1511,1521,21399,1607482800
CEDEARKO,2020-12-10,1520,1530,1494,1500,16330,1607569200
CEDEARKO,2020-12-14,1529,1550,1503,1529,32443,1607914800
CEDEARKO,2020-12-15,1511,1555,1511,1544,20680,1608001200
CEDEARKO,2020-12-16,1544,1560,1510,1519.5,29724,1608087600
CEDEARKO,2020-12-17,1519,1535.5,1504.5,1524,49251,1608174000
CEDEARKO,2020-12-18,1540,1541.5,1499.5,1509,14542,1608260400
CEDEARKO,2020-12-21,1500,1512.5,1400,1466,20594,1608519600
CEDEARKO,2020-12-22,1480,1502.5,1472,1494.5,19952,1608606000
CEDEARKO,2020-12-23,1495,1535,1480.5,1523,37307,1608692400
CEDEARKO,2020-12-28,1520,1560,1519,1548.5,71460,1609124400
CEDEARKO,2020-12-29,1570,1585,1540,1556.5,21552,1609210800
CEDEARKO,2020-12-30,1560,1576,1540,1572.5,31547,1609297200
CEDEARKO,2021-01-04,1576,1595,1510,1547.5,53774,1609729200
CEDEARKO,2021-01-05,1547.5,1561,1502,1552.5,22282,1609815600
CEDEARKO,2021-01-06,1550,1590.5,1493,1500,50505,1609902000
CEDEARKO,2021-01-07,1501,1520,1478,1486.5,49623,1609988400
CEDEARKO,2021-01-08,1487,1536,1487,1530.5,44129,1610074800
CEDEARKO,2021-01-11,1542,1542,1500,1512.5,24431,1610334000
CEDEARKO,2021-01-12,1519.5,1527,1501,1509.5,26242,1610420400
CEDEARKO,2021-01-13,1507,1523,1502,1520.5,32844,1610506800
CEDEARKO,2021-01-14,1520,1530,1479,1484.5,38953,1610593200
CEDEARKO,2021-01-15,1490,1490,1460,1471.5,18235,1610679600
CEDEARKO,2021-01-18,1470,1505,1448,1477.5,12036,1610938800
CEDEARKO,2021-01-19,1484,1493,1430,1461.5,22186,1611025200
CEDEARKO,2021-01-20,1464,1488.5,1455,1472,24114,1611111600
CEDEARKO,2021-01-21,1480,1504.5,1465,1495,44231,1611198000
CEDEARKO,2021-01-22,1502,1504,1468,1483.5,31906,1611284400
CEDEARKO,2021-01-25,1483,1495,1450,1489,22761,1611543600
CEDEARKO,2021-01-26,1487,1515,1485,1513,34905,1611630000
CEDEARKO,2021-01-27,1520,1524.5,1485,1492.5,11821,1611716400
CEDEARKO,2021-01-28,1493,1540,1470,1528.5,57648,1611802800
CEDEARKO,2021-01-29,1527,1527,1482,1488.5,56431,1611889200
CEDEARKO,2021-02-01,1500,1510,1484,1500.5,68891,1612148400
CEDEARKO,2021-02-02,1500,1532,1490,1527,69976,1612234800
CEDEARKO,2021-02-03,1527,1531,1494.5,1525,58451,1612321200
CEDEARKO,2021-02-04,1527,1536.5,1515,1533,60660,1612407600
CEDEARKO,2021-02-05,1536,1563,1535,1550,53897,1612494000
CEDEARKO,2021-02-08,1533,1572,1532,1548,54901,1612753200
CEDEARKO,2021-02-09,1559,1559,1540,1546.5,53350,1612839600
CEDEARKO,2021-02-10,1571,1590,1540,1546.5,67199,1612926000
CEDEARKO,2021-02-11,1555,1560,1517.5,1533,14024,1613012400
CEDEARKO,2021-02-12,1535,1547.5,1521,1527.5,12908,1613098800
